"Step","confused-terrain-544 - latency/qimdbload_4a326","confused-terrain-544 - latency/qimdbload_4a326__MIN","confused-terrain-544 - latency/qimdbload_4a326__MAX"
"60","2.004468","2.004468","2.004468"
"267","1.9092360000000002","1.9092360000000002","1.9092360000000002"
"474","21.618902","21.618902","21.618902"
"682","0.7624679999999999","0.7624679999999999","0.7624679999999999"
"889","1.398179","1.398179","1.398179"
"1097","0.946586","0.946586","0.946586"
"1305","0.941699","0.941699","0.941699"
"1460","2.11218","2.11218","2.11218"
"1576","1.6500380000000001","1.6500380000000001","1.6500380000000001"
"1783","0.867581","0.867581","0.867581"
"1991","8.487588","8.487588","8.487588"
"2133","0.778634","0.778634","0.778634"
"2341","1.086038","1.086038","1.086038"
"2497","1.12518","1.12518","1.12518"
"2704","1.0543330000000002","1.0543330000000002","1.0543330000000002"
"2911","0.884961","0.884961","0.884961"
"3118","1.1377840000000001","1.1377840000000001","1.1377840000000001"
"3261","0.808979","0.808979","0.808979"
"3371","1.220791","1.220791","1.220791"
"3579","0.68337","0.68337","0.68337"
"3721","0.804577","0.804577","0.804577"
"3831","0.793396","0.793396","0.793396"
"3967","0.675253","0.675253","0.675253"
"4077","0.806586","0.806586","0.806586"
"4284","4.537227","4.537227","4.537227"
"4426","0.8229249999999999","0.8229249999999999","0.8229249999999999"
"4588","0.6739080000000001","0.6739080000000001","0.6739080000000001"
"4737","0.878343","0.878343","0.878343"
"4867","0.755555","0.755555","0.755555"
"5074","0.675044","0.675044","0.675044"
"5281","0.672327","0.672327","0.672327"
"5417","0.696997","0.696997","0.696997"
"5598","0.854557","0.854557","0.854557"
"5786","0.7440599999999999","0.7440599999999999","0.7440599999999999"
"5975","0.900335","0.900335","0.900335"
"6137","0.6731849999999999","0.6731849999999999","0.6731849999999999"
"6274","0.6930270000000001","0.6930270000000001","0.6930270000000001"
"6443","0.766069","0.766069","0.766069"
"6651","0.7220979999999999","0.7220979999999999","0.7220979999999999"
"6788","4.765593","4.765593","4.765593"
"6912","0.689446","0.689446","0.689446"
"7120","0.692216","0.692216","0.692216"
"7283","0.849734","0.849734","0.849734"
"7433","0.909363","0.909363","0.909363"
"7622","1.174694","1.174694","1.174694"
"7804","8.869531","8.869531","8.869531"
"7921","0.928371","0.928371","0.928371"
"8084","1.1426079999999998","1.1426079999999998","1.1426079999999998"
"8247","0.8630220000000001","0.8630220000000001","0.8630220000000001"
"8455","1.1224020000000001","1.1224020000000001","1.1224020000000001"
