"Step","confused-terrain-544 - latency/qimdbload_20a_job_middle","confused-terrain-544 - latency/qimdbload_20a_job_middle__MIN","confused-terrain-544 - latency/qimdbload_20a_job_middle__MAX"
"47","2.227086","2.227086","2.227086"
"254","3.26059","3.26059","3.26059"
"461","3.975335","3.975335","3.975335"
"669","2.543371","2.543371","2.543371"
"876","3.639455","3.639455","3.639455"
"1084","3.044685","3.044685","3.044685"
"1292","3.502265","3.502265","3.502265"
"1447","3.653309","3.653309","3.653309"
"1563","2.4507399999999997","2.4507399999999997","2.4507399999999997"
"1770","2.613526","2.613526","2.613526"
"1978","2.586558","2.586558","2.586558"
"2120","2.392569","2.392569","2.392569"
"2328","2.461167","2.461167","2.461167"
"2484","2.0797800000000004","2.0797800000000004","2.0797800000000004"
"2691","2.207922","2.207922","2.207922"
"2898","2.392471","2.392471","2.392471"
"3105","5.112832999999999","5.112832999999999","5.112832999999999"
"3248","2.336404","2.336404","2.336404"
"3358","2.3219830000000004","2.3219830000000004","2.3219830000000004"
"3566","2.136589","2.136589","2.136589"
"3708","2.236401","2.236401","2.236401"
"3818","3.230922","3.230922","3.230922"
"3954","2.350324","2.350324","2.350324"
"4064","2.812303","2.812303","2.812303"
"4271","2.411167","2.411167","2.411167"
"4413","2.1616779999999998","2.1616779999999998","2.1616779999999998"
"4575","1.084951","1.084951","1.084951"
"4724","2.122419","2.122419","2.122419"
"4854","2.083896","2.083896","2.083896"
"5061","1.2108979999999998","1.2108979999999998","1.2108979999999998"
"5268","2.7643240000000002","2.7643240000000002","2.7643240000000002"
"5404","2.329619","2.329619","2.329619"
"5585","1.5111269999999999","1.5111269999999999","1.5111269999999999"
"5773","1.1062429999999999","1.1062429999999999","1.1062429999999999"
"5962","1.15254","1.15254","1.15254"
"6124","2.637782","2.637782","2.637782"
"6261","1.104203","1.104203","1.104203"
"6430","1.101452","1.101452","1.101452"
"6638","1.461952","1.461952","1.461952"
"6775","1.320192","1.320192","1.320192"
"6899","1.0968099999999998","1.0968099999999998","1.0968099999999998"
"7107","1.321217","1.321217","1.321217"
"7270","0.987383","0.987383","0.987383"
"7420","1.331596","1.331596","1.331596"
"7609","1.200361","1.200361","1.200361"
"7791","1.209307","1.209307","1.209307"
"7908","1.193116","1.193116","1.193116"
"8071","1.23175","1.23175","1.23175"
"8234","1.308432","1.308432","1.308432"
"8442","1.294459","1.294459","1.294459"
