"Step","confused-terrain-544 - latency/qimdbload_11b1","confused-terrain-544 - latency/qimdbload_11b1__MIN","confused-terrain-544 - latency/qimdbload_11b1__MAX"
"42","19.797136","19.797136","19.797136"
"249","3.709721","3.709721","3.709721"
"456","4.295187","4.295187","4.295187"
"664","7.471829","7.471829","7.471829"
"871","2.1066439999999997","2.1066439999999997","2.1066439999999997"
"1079","2.224876","2.224876","2.224876"
"1287","2.614414","2.614414","2.614414"
"1442","2.223558","2.223558","2.223558"
"1558","1.9465530000000002","1.9465530000000002","1.9465530000000002"
"1765","1.264585","1.264585","1.264585"
"1973","2.226192","2.226192","2.226192"
"2115","1.8776869999999999","1.8776869999999999","1.8776869999999999"
"2323","7.38296","7.38296","7.38296"
"2479","1.8142470000000002","1.8142470000000002","1.8142470000000002"
"2686","2.04257","2.04257","2.04257"
"2893","1.388051","1.388051","1.388051"
"3100","1.1335909999999998","1.1335909999999998","1.1335909999999998"
"3243","1.22147","1.22147","1.22147"
"3353","2.13296","2.13296","2.13296"
"3561","2.2912280000000003","2.2912280000000003","2.2912280000000003"
"3703","2.508255","2.508255","2.508255"
"3813","2.315825","2.315825","2.315825"
"3949","1.662849","1.662849","1.662849"
"4059","1.6946189999999999","1.6946189999999999","1.6946189999999999"
"4266","1.7424600000000001","1.7424600000000001","1.7424600000000001"
"4408","1.8085309999999999","1.8085309999999999","1.8085309999999999"
"4570","1.283708","1.283708","1.283708"
"4719","1.072554","1.072554","1.072554"
"4849","1.8124449999999999","1.8124449999999999","1.8124449999999999"
"5056","1.456569","1.456569","1.456569"
"5263","6.543925","6.543925","6.543925"
"5399","2.0721309999999997","2.0721309999999997","2.0721309999999997"
"5580","14.218457","14.218457","14.218457"
"5768","3.622832","3.622832","3.622832"
"5957","1.816977","1.816977","1.816977"
"6119","1.59144","1.59144","1.59144"
"6256","1.6870530000000001","1.6870530000000001","1.6870530000000001"
"6425","1.601544","1.601544","1.601544"
"6633","1.587691","1.587691","1.587691"
"6770","1.737282","1.737282","1.737282"
"6894","1.562281","1.562281","1.562281"
"7102","1.5697560000000002","1.5697560000000002","1.5697560000000002"
"7265","1.4592729999999998","1.4592729999999998","1.4592729999999998"
"7415","3.296935","3.296935","3.296935"
"7604","1.613688","1.613688","1.613688"
"7786","1.4695239999999998","1.4695239999999998","1.4695239999999998"
"7903","1.567955","1.567955","1.567955"
"8066","1.896488","1.896488","1.896488"
"8229","1.728715","1.728715","1.728715"
"8437","1.421316","1.421316","1.421316"
