"Step","desert-sky-552 - latency/qsoload_q14-005","desert-sky-552 - latency/qsoload_q14-005__MIN","desert-sky-552 - latency/qsoload_q14-005__MAX"
"112","60","60","60"
"343","13.407943999999999","13.407943999999999","13.407943999999999"
"641","10.087402","10.087402","10.087402"
"933","60","60","60"
"1212","60","60","60"
"1508","8.000721","8.000721","8.000721"
"1804","17.119823","17.119823","17.119823"
"2048","13.018697","13.018697","13.018697"
"2266","4.863448999999999","4.863448999999999","4.863448999999999"
"2478","8.071416000000001","8.071416000000001","8.071416000000001"
"2677","8.563498","8.563498","8.563498"
"2975","5.365014","5.365014","5.365014"
"3228","10.524143","10.524143","10.524143"
"3526","10.215832","10.215832","10.215832"
"3822","2.166752","2.166752","2.166752"
"4101","2.2557359999999997","2.2557359999999997","2.2557359999999997"
"4378","60","60","60"
"4644","4.265264","4.265264","4.265264"
"4940","4.194542","4.194542","4.194542"
"5193","1.509792","1.509792","1.509792"
"5457","3.638393","3.638393","3.638393"
"5710","60","60","60"
"6006","56.265036","56.265036","56.265036"
"6244","5.878641","5.878641","5.878641"
"6540","1.172353","1.172353","1.172353"
"6812","60","60","60"
"7043","60","60","60"
"7270","60","60","60"
"7549","55.602413","55.602413","55.602413"
"7847","39.469461","39.469461","39.469461"
"8074","1.158464","1.158464","1.158464"
"8320","1.438942","1.438942","1.438942"
"8579","1.155212","1.155212","1.155212"
"8817","1.2148510000000001","1.2148510000000001","1.2148510000000001"
"9024","1.614822","1.614822","1.614822"
"9238","3.751952","3.751952","3.751952"
"9484","1.1456959999999998","1.1456959999999998","1.1456959999999998"
"9704","1.305412","1.305412","1.305412"
"9924","60","60","60"
"10209","1.1725139999999998","1.1725139999999998","1.1725139999999998"
"10462","0.249161","0.249161","0.249161"
"10760","0.047874","0.047874","0.047874"
"10959","0.468363","0.468363","0.468363"
"11192","0.521627","0.521627","0.521627"
"11419","0.257924","0.257924","0.257924"
"11633","0.06251","0.06251","0.06251"
"11860","60","60","60"
"12067","7.814813","7.814813","7.814813"
"12365","0.083915","0.083915","0.083915"
"12605","0.17082","0.17082","0.17082"
