query,latency_ms
imdbload_10a1,13875.929
imdbload_10a2,9071.445
imdbload_11a1,7081.213
imdbload_11a2,1243.786
imdbload_11b1,819.329
imdbload_11b2,2519.194
imdbload_15a_job_middle,302.807
imdbload_1a796,187.396
imdbload_1a807,855.393
imdbload_20a_job_middle,6312.052
imdbload_2a404,162.555
imdbload_2a5,696.874
imdbload_2b179,716.486
imdbload_2b180,3877.488
imdbload_2c241,237.327
imdbload_2c242,73.234
imdbload_33b_job_middle,106.264
imdbload_3a1092,53.475
imdbload_3a1108,370.285
imdbload_3b1,231.861
imdbload_3b2,601.59
imdbload_4a279,358.642
imdbload_4a326,676.026
imdbload_5a250,1516.201
imdbload_5a276,288.483
imdbload_6a104,1716.7
imdbload_6a107,2995.287
imdbload_7a63,2213.286
imdbload_7a64,1692.063
imdbload_8a117,4875.478
imdbload_8a6,290.585
imdbload_9a1,2009.63
imdbload_9a2,1910.851
imdbload_9b1,1045.185
imdbload_9b2,668.989
