query best,latency_ms,,query base,latency_ms,,,,query best,latency_ms,,query base,latency_ms
imdbload_10a1,1836.519,,imdbload_10a1,10000,,,,imdbload_10a1,1836.519,,imdbload_10a1,10000
imdbload_10a2,1138.8,,imdbload_10a2,9071.445,,,,imdbload_10a2,1138.8,,imdbload_10a2,9071.445
imdbload_11a1,6640.476,,imdbload_11a1,7081.213,,,,imdbload_11a1,6640.476,,imdbload_11a1,7081.213
imdbload_11a2,1835.346,,imdbload_11a2,1243.786,,,,imdbload_11b2,1550.807,,imdbload_11b2,2519.194
imdbload_11b1,1072.554,,imdbload_11b1,819.329,,,,imdbload_1a807,799.725,,imdbload_1a807,855.393
imdbload_11b2,1550.807,,imdbload_11b2,2519.194,,,,imdbload_20a_job_middle,987.383,,imdbload_20a_job_middle,6312.052
imdbload_15a_job_middle,627.949,,imdbload_15a_job_middle,302.807,,,,imdbload_2b180,949.053,,imdbload_2b180,3877.488
imdbload_1a796,843.085,,imdbload_1a796,187.396,,,,imdbload_4a326,672.327,,imdbload_4a326,676.026
imdbload_1a807,799.725,,imdbload_1a807,855.393,,,,imdbload_5a250,743.892,,imdbload_5a250,1516.201
imdbload_20a_job_middle,987.383,,imdbload_20a_job_middle,6312.052,,,,imdbload_6a104,904.122,,imdbload_6a104,1716.7
imdbload_2a404,867.883,,imdbload_2a404,162.555,,,,imdbload_6a107,1174.635,,imdbload_6a107,2995.287
imdbload_2a5,1143.372,,imdbload_2a5,696.874,,,,imdbload_7a63,1189.594,,imdbload_7a63,2213.286
imdbload_2b179,817.804,,imdbload_2b179,716.486,,,,imdbload_7a64,1154.38,,imdbload_7a64,1692.063
imdbload_2b180,949.053,,imdbload_2b180,3877.488,,,,imdbload_8a117,1244.442,,imdbload_8a117,4875.478
imdbload_2c241,835.401,,imdbload_2c241,237.327,,,,imdbload_9a1,1656.604,,imdbload_9a1,2009.63
imdbload_2c242,715.999,,imdbload_2c242,73.234,,,,imdbload_9a2,1548.202,,imdbload_9a2,1910.851
imdbload_33b_job_middle,724.695,,imdbload_33b_job_middle,106.264,,,,all,24190.961,,all,59322.307
imdbload_3a1092,923.629,,imdbload_3a1092,53.475,,,,,,,,
imdbload_3a1108,1233.523,,imdbload_3a1108,370.285,,,,,,,0.592211392,
imdbload_3b1,1069.726,,imdbload_3b1,231.861,,,,,,,,
imdbload_3b2,904.767,,imdbload_3b2,601.59,,,,,,,,
imdbload_4a279,774.376,,imdbload_4a279,358.642,,,,,,,,
imdbload_4a326,672.327,,imdbload_4a326,676.026,,,,,,,,
imdbload_5a250,743.892,,imdbload_5a250,1516.201,,,,,,,,
imdbload_5a276,470.205,,imdbload_5a276,288.483,,,,,,,,
imdbload_6a104,904.122,,imdbload_6a104,1716.7,,,,,,,,
imdbload_6a107,1174.635,,imdbload_6a107,2995.287,,,,,,,,
imdbload_7a63,1189.594,,imdbload_7a63,2213.286,,,,,,,,
imdbload_7a64,1154.38,,imdbload_7a64,1692.063,,,,,,,,
imdbload_8a117,1244.442,,imdbload_8a117,4875.478,,,,,,,,
imdbload_8a6,1018.244,,imdbload_8a6,290.585,,,,,,,,
imdbload_9a1,1656.604,,imdbload_9a1,2009.63,,,,,,,,
imdbload_9a2,1548.202,,imdbload_9a2,1910.851,,,,,,,,
imdbload_9b1,1134.033,,imdbload_9b1,1045.185,,,,,,,,
imdbload_9b2,1106.523,,imdbload_9b2,668.989,,,,,,,,
all,42310.075,,all,67777.46,,,,,,,,
,,,,,,,,,,,,
,,,0.375750065,,,,,,,,,
