Iteration,Total LLM Time (ms),Total Postgres Time (ms),Relative Time
2,44417.29899999999,38176.10499999998,1.163484305169425
3,30500.128999999997,38176.10499999998,0.7989324474039458
4,34070.496,38176.10499999998,0.8924560533349334
5,34913.875,38176.10499999998,0.9145478565715391
6,40152.744,38176.10499999998,1.051776864088152
7,32715.61299999999,38176.10499999998,0.8569657119289672
8,68565.53099999999,38176.10499999998,1.7960326492186676
9,41393.77999999999,38176.10499999998,1.0842850521288123
10,60517.982999999986,38176.10499999998,1.5852319926299452
11,29298.89699999999,38176.10499999998,0.7674669010890453
12,39010.32499999998,38176.10499999998,1.0218518887665466
13,38495.134999999995,38176.10499999998,1.0083567980546997
14,21985.085999999996,38176.10499999998,0.5758860418054699
15,48013.918,38176.10499999998,1.2576955663758789
16,21762.352999999996,38176.10499999998,0.5700516854718418
17,57369.965,38176.10499999998,1.5027715635212138
18,57299.06299999999,38176.10499999998,1.500914328478508
19,37405.291,38176.10499999998,0.9798089930861207
20,28117.607999999993,38176.10499999998,0.736523749607248
21,37402.613999999994,38176.10499999998,0.9797388706888776
22,28114.93099999999,38176.10499999998,0.7364536272100048
23,36732.68599999999,38176.10499999998,0.9621905115778575
24,27784.63099999999,38176.10499999998,0.7278016183159598
25,37175.186,38176.10499999998,0.9737815316675187
26,27199.10699999999,38176.10499999998,0.7124641709781551
27,36777.51400000001,38176.10499999998,0.963364753947529
28,27013.002999999993,38176.10499999998,0.7075892891639942
29,29605.746999999992,38176.10499999998,0.7755046514043276
30,46325.95500000001,38176.10499999998,1.21348039565587
31,36499.53300000001,38176.10499999998,0.9560832096412147
32,29478.644999999993,38176.10499999998,0.7721752913242461
33,36877.361,38176.10499999998,0.965980185773274
34,36570.441999999995,38176.10499999998,0.9579406280446896
35,19927.525,38176.10499999998,0.521989474829871
36,26922.834000000003,38176.10499999998,0.7052273666996677
37,36268.433000000005,38176.10499999998,0.9500296847989081
38,29600.473,38176.10499999998,0.7753665021614965
39,28113.015,38176.10499999998,0.7364034387478768
40,18440.985000000004,38176.10499999998,0.48305045787148826
41,17890.262000000002,38176.10499999998,0.4686246016978424
42,45318.718,38176.10499999998,1.1870964311314636
43,35093.93,38176.10499999998,0.9192642884862146
44,25455.548000000003,38176.10499999998,0.6667926966357625
45,17867.506,38176.10499999998,0.4680285220296835
46,35016.87500000001,38176.10499999998,0.9172458793268727
47,25437.52,38176.10499999998,0.666320464070392
48,25434.971,38176.10499999998,0.6662536945557964
49,17864.009000000002,38176.10499999998,0.46793692022798056
50,35376.638,38176.10499999998,0.9266696537009215
