Iteration,Total LLM Time (ms),Total Postgres Time (ms),Relative Time
2,60845.155,38355.217,1.5863592950080299
3,53046.53900000001,38355.217,1.3830332129264193
4,47914.604000000014,38355.217,1.2492330313240052
5,47889.545999999995,38355.217,1.2485797173302395
6,38089.751,38355.217,0.9930787511904834
7,38072.208,38355.217,0.9926213688218738
8,38052.555,38355.217,0.9921089743801997
9,47230.992999999995,38355.217,1.2314098757412844
10,37252.35599999999,38355.217,0.9712461280039165
11,37244.366,38355.217,0.9710378121443037
12,37240.009,38355.217,0.9709242161242367
13,46830.558999999994,38355.217,1.2209697314448775
14,56732.973999999995,38355.217,1.4791462136689253
15,37126.46599999999,38355.217,0.9679639147915653
16,37116.503,38355.217,0.9677041587328263
17,37102.749,38355.217,0.9673455634470796
18,43926.31399999999,38355.217,1.1452500451242393
19,37081.14099999999,38355.217,0.966782198103585
20,46514.853999999985,38355.217,1.2127386477829076
21,50784.26399999999,38355.217,1.3240510150157667
22,36884.54,38355.217,0.9616564025696949
23,60234.441999999995,38355.217,1.5704367413694986
24,32066.979000000003,38355.217,0.8360526027006966
25,49165.954,38355.217,1.281858319299823
26,30835.499999999996,38355.217,0.8039453928783664
27,50357.895999999986,38355.217,1.3129347175900474
28,30826.941,38355.217,0.8037222420094768
29,30812.259,38355.217,0.8033394518404107
30,40311.27799999999,38355.217,1.0509985642891813
31,40311.27799999999,38355.217,1.0509985642891813
32,30800.772000000004,38355.217,0.8030399619431173
33,40424.47899999999,38355.217,1.053949948973043
34,30795.649000000005,38355.217,0.8029063947154831
35,30794.710000000003,38355.217,0.8028819130393658
36,40415.643,38355.217,1.0537195761400593
37,29026.909,38355.217,0.7567916771269995
38,29005.716,38355.217,0.7562391316936103
39,47080.881,38355.217,1.2274961447878134
40,38512.632,38355.217,1.0041041352992477
41,28934.274,38355.217,0.7543764906870427
42,28842.852,38355.217,0.7519929296710797
43,37411.101,38355.217,0.9753849391596456
44,28839.658,38355.217,0.7519096554713796
45,28839.658,38355.217,0.7519096554713796
46,28839.658,38355.217,0.7519096554713796
47,38471.68199999999,38355.217,1.0030364839286399
48,28839.658,38355.217,0.7519096554713796
49,46914.823,38355.217,1.2231666685655826
50,28839.658,38355.217,0.7519096554713796
