Iteration,Total LLM Time (ms),Total Postgres Time (ms),Relative Time
2,198275.047,67777.46,2.925383262
3,133713.646,67777.46,1.972833535
4,147418.489,67777.46,2.175037085
5,131646.077,67777.46,1.942328276
6,107675.839,67777.46,1.588667368
7,81841.175,67777.46,1.207498407
8,96111.445,67777.46,1.418044362
9,107002.989,67777.46,1.578740027
10,79291.492,67777.46,1.169879957
11,83499.359,67777.46,1.231963532
12,129145.089,67777.46,1.90542828
13,82810.321,67777.46,1.22179735
14,87110.915,67777.46,1.285249034
15,70620.441,67777.46,1.041945818
16,79132.665,67777.46,1.167536597
17,62508.57,67777.46,0.922261914
18,60955.329,67777.46,0.899345136
19,59512.43,67777.46,0.878056363
20,63340.612,67777.46,0.934538001
21,76283.189,67777.46,1.125494951
22,63050.682,67777.46,0.930260325
23,62890.658,67777.46,0.927899305
24,57822.324,67777.46,0.853120256
25,66228.486,67777.46,0.977146178
26,65494.833,67777.46,0.966321739
27,65173.96,67777.46,0.961587525
28,58447.958,67777.46,0.862350964
29,64316.688,67777.46,0.94893919
30,66564.303,67777.46,0.982100878
31,78364.761,67777.46,1.156206813
32,78549.941,67777.46,1.158938989
33,58460.228,67777.46,0.862531998
34,71300.187,67777.46,1.051974904
35,75738.295,67777.46,1.117455493
36,61498.448,67777.46,0.907358405
37,63021.858,67777.46,0.929835051
38,61624.057,67777.46,0.909211661
39,64131.191,67777.46,0.946202336
40,60123.836,67777.46,0.887077149
41,76362.272,67777.46,1.126661755
42,63003.849,67777.46,0.929569344
43,75003.758,67777.46,1.106618011
44,67524.489,67777.46,0.996267623
45,61395.116,67777.46,0.905833827
46,58728.617,67777.46,0.866491854
47,74142.448,67777.46,1.093910099
48,61045.064,67777.46,0.900669101
49,58118.252,67777.46,0.857486427
50,68557.839,67777.46,1.011513843
