Iteration,Total LLM Time (ms),Total Postgres Time (ms),Relative Time
2,1697624.428,278594.399,6.093533948
3,1721422.772,278594.399,6.178956857
4,1379096.813,278594.399,4.950195761
5,1136246.272,278594.399,4.078496467
6,1481123.293,278594.399,5.316414466
7,1271766.854,278594.399,4.564940496
8,1232363.588,278594.399,4.423504537
9,1307766.017,278594.399,4.694157606
10,1084489.41,278594.399,3.892717922
11,1131300.989,278594.399,4.060745633
12,1057064.254,278594.399,3.794276761
13,1407809.868,278594.399,5.053259768
14,1380531.537,278594.399,4.955345628
15,1058234.334,278594.399,3.798476702
16,1019989.158,278594.399,3.661197647
17,1032241.881,278594.399,3.705178154
18,1212300.417,278594.399,4.351488836
19,1296367.673,278594.399,4.653243847
20,1010520.286,278594.399,3.627209627
21,699100.927,278594.399,2.509386152
22,885357.4,278594.399,3.177944005
23,815816.283,278594.399,2.928329808
24,831634.681,278594.399,2.985109119
25,1235445.203,278594.399,4.434565833
26,1064123.744,278594.399,3.819616431
27,817965.066,278594.399,2.936042752
28,841420.731,278594.399,3.020235633
29,958875.236,278594.399,3.441832425
30,612626.553,278594.399,2.198990917
31,685619.427,278594.399,2.460995014
32,808497.642,278594.399,2.90205993
33,759274.877,278594.399,2.725377394
34,736098.031,278594.399,2.642185319
35,697982.694,278594.399,2.505372314
36,739488.178,278594.399,2.654354074
37,658227.181,278594.399,2.362671983
38,555725.033,278594.399,1.994745892
39,549971.646,278594.399,1.974094411
40,575428.327,278594.399,2.065469834
41,678910.363,278594.399,2.436913181
42,552060.571,278594.399,1.981592498
43,589194.917,278594.399,2.114884287
44,599801.543,278594.399,2.152956216
45,586670.523,278594.399,2.105823107
46,714345.617,278594.399,2.564106169
47,503973.485,278594.399,1.808986422
48,531100.329,278594.399,1.906356807
49,709235.116,278594.399,2.545762293
50,757534.899,278594.399,2.719131834
