Iteration,Total LLM Time (ms),Total Postgres Time (ms),Relative Time
2,43022.617999999995,38366.49899999999,1.1213589751830109
3,49415.677,38366.49899999999,1.2879902594187709
4,27357.67,38366.49899999999,0.713061413291841
5,53363.683,38366.49899999999,1.3908926900002008
6,40637.774000000005,38366.49899999999,1.0591994333389663
7,68933.41500000001,38366.49899999999,1.7967085034263883
8,30009.652,38366.49899999999,0.7821837483790222
9,28564.734999999997,38366.49899999999,0.744522845308351
10,66473.23400000001,38366.49899999999,1.732585347440746
11,37992.791,38366.49899999999,0.9902595230281503
12,29484.763,38366.49899999999,0.7685028284702237
13,39938.164,38366.49899999999,1.040964514380111
14,48438.72200000001,38366.49899999999,1.262526507826529
15,28176.705,38366.49899999999,0.7344090739162833
16,48172.081000000006,38366.49899999999,1.2555766685930874
17,38782.442,38366.49899999999,1.0108413071518465
18,37220.414,38366.49899999999,0.9701279754506662
19,48355.595,38366.49899999999,1.2603598519635586
20,27648.29299999999,38366.49899999999,0.7206363291057649
21,28442.248999999996,38366.49899999999,0.7413303204965354
22,48562.44800000001,38366.49899999999,1.2657513525015671
23,65218.36100000001,38366.49899999999,1.6998778283105798
24,54930.95300000001,38366.49899999999,1.431742651316713
25,48664.216,38366.49899999999,1.2684038749535111
26,38782.035,38366.49899999999,1.010830698938676
27,29360.815999999995,38366.49899999999,0.7652722235614984
28,38858.036000000015,38366.49899999999,1.0128116198457415
29,45275.586,38366.49899999999,1.1800812474445483
30,19377.314999999995,38366.49899999999,0.5050582019485281
31,28296.626999999993,38366.49899999999,0.7375347695915648
32,28296.626999999993,38366.49899999999,0.7375347695915648
33,66941.374,38366.49899999999,1.7447871383834115
34,38436.53300000002,38366.49899999999,1.0018253945975115
35,38241.821,38366.49899999999,0.9967503420106175
36,19350.799999999992,38366.49899999999,0.5043671042280923
37,46119.210000000014,38366.49899999999,1.2020698057438086
38,37731.89000000001,38366.49899999999,0.9834592934841414
39,48022.81500000001,38366.49899999999,1.2516861389932927
40,37724.877,38366.49899999999,0.9832765038060942
41,48238.967,38366.49899999999,1.2573200124410624
42,37833.272,38366.49899999999,0.9861017550754373
43,57492.96600000001,38366.49899999999,1.4985199978762729
44,28642.588,38366.49899999999,0.7465520374950033
45,19176.567,38366.49899999999,0.4998258246080781
46,47533.609,38366.49899999999,1.2389352752775282
47,19145.792,38366.49899999999,0.4990236925188302
48,55212.22499999999,38366.49899999999,1.439073838871772
49,36313.46199999999,38366.49899999999,0.9464888104593542
50,36456.04400000001,38366.49899999999,0.9502051255706188
