Iteration,Total LLM Time (ms),Total Postgres Time (ms),Relative Time
2,224958.7860000001,94363.615,2.383956846078863
3,153518.3760000001,94363.615,1.626881038841084
4,131473.06300000002,94363.615,1.393260135275657
5,131114.86900000004,94363.615,1.3894642442428686
6,130981.04200000004,94363.615,1.3880460387194793
7,129362.65300000002,94363.615,1.3708954770331765
8,96489.396,94363.615,1.0225275494161599
9,96471.31800000004,94363.615,1.0223359713381057
10,65174.47099999998,94363.615,0.6906737411448256
11,65157.11499999998,94363.615,0.6904898143209115
12,65120.33399999997,94363.615,0.6901000348492369
13,65082.40599999999,94363.615,0.6896981002688376
14,65074.83399999999,94363.615,0.6896178574761044
15,65072.16999999999,94363.615,0.6895896262558401
16,65064.851999999984,94363.615,0.6895120751785525
17,65048.181999999986,94363.615,0.6893354181058026
18,65048.181999999986,94363.615,0.6893354181058026
19,63899.34399999999,94363.615,0.6771608315344848
20,63556.85599999999,94363.615,0.6735313817725189
21,63031.499999999985,94363.615,0.6679640240573655
22,62933.18699999998,94363.615,0.6669221712203373
23,62932.57999999999,94363.615,0.6669157386562605
24,62910.28499999999,94363.615,0.6666794717434256
25,61769.51099999998,94363.615,0.6545903418388536
26,61769.13999999998,94363.615,0.6545864102387342
27,59827.02299999998,94363.615,0.634005204230465
28,59820.63699999998,94363.615,0.633937529841348
29,59813.98799999998,94363.615,0.6338670683610412
30,59811.681,94363.615,0.6338426203786278
31,59509.48099999999,94363.615,0.6306401148366347
32,59503.466,94363.615,0.6305763720476372
33,59502.779,94363.615,0.6305690916991682
34,59274.24599999999,94363.615,0.628147257817539
35,59267.882,94363.615,0.6280798165691299
36,59265.89899999999,94363.615,0.6280588021135052
37,58126.30699999999,94363.615,0.6159821982233299
38,58121.361999999994,94363.615,0.6159297945505796
39,57088.672000000006,94363.615,0.6049860637492533
40,57088.672000000006,94363.615,0.6049860637492533
41,57088.511,94363.615,0.6049843575831637
42,57084.360000000015,94363.615,0.6049403681705073
43,56980.363000000005,94363.615,0.6038382802524045
44,56977.17900000001,94363.615,0.6038045384335902
45,56977.081000000006,94363.615,0.6038034998977095
46,56976.666000000005,94363.615,0.6037991020161744
47,56975.46100000001,94363.615,0.6037863322637651
48,56974.54500000001,94363.615,0.603776625132473
49,56973.36800000002,94363.615,0.6037641521046011
50,56972.92700000002,94363.615,0.6037594786931384
