Iteration,Total LLM Time (ms),Total Postgres Time (ms),Relative Time
2,76511.59899999999,95265.63600000004,0.8031395392143286
3,75915.44299999996,95265.63600000004,0.7968817108406218
4,73999.57299999999,95265.63600000004,0.7767708914471526
5,73189.81299999998,95265.63600000004,0.7682708694665089
6,71936.26099999997,95265.63600000004,0.755112378612577
7,71774.65099999998,95265.63600000004,0.7534159641783104
8,71439.39099999999,95265.63600000004,0.749896751857091
9,71399.948,95265.63600000004,0.7494827200859707
10,71394.0,95265.63600000004,0.7494202841410723
11,71379.939,95265.63600000004,0.7492726863231141
12,71377.05,95265.63600000004,0.7492423605926483
13,71372.03700000001,95265.63600000004,0.7491897393095657
14,71371.37000000002,95265.63600000004,0.7491827378342385
15,71346.61700000004,95265.63600000004,0.7489229064717524
16,71342.26300000004,95265.63600000004,0.7488772026882811
17,71337.14500000002,95265.63600000004,0.7488234792239249
18,71329.58200000002,95265.63600000004,0.7487440906813448
19,71303.12700000001,95265.63600000004,0.7484663934852644
20,69831.66100000004,95265.63600000004,0.7330204671073629
21,69831.62400000004,95265.63600000004,0.7330200787196761
22,69831.62400000004,95265.63600000004,0.7330200787196761
23,69831.14800000003,95265.63600000004,0.7330150821645698
24,69829.45300000004,95265.63600000004,0.7329972898097274
25,69820.24300000002,95265.63600000004,0.7329006127666012
26,69820.16300000002,95265.63600000004,0.7328997730094405
27,69817.70500000002,95265.63600000004,0.7328739714706779
28,69816.28700000003,95265.63600000004,0.7328590867750046
29,69816.28700000003,95265.63600000004,0.7328590867750046
30,69814.95400000003,95265.63600000004,0.7328450943213143
31,69813.92900000003,95265.63600000004,0.7328343349326929
32,69813.79900000003,95265.63600000004,0.7328329703273067
33,69812.36300000003,95265.63600000004,0.7328178966862721
34,69809.79100000003,95265.63600000004,0.7327908984935554
35,69808.52000000002,95265.63600000004,0.7327775568516646
36,69808.33900000002,95265.63600000004,0.7327756569010886
37,69801.55000000002,95265.63600000004,0.7327043930090383
38,69800.94300000001,95265.63600000004,0.7326980213515815
39,69800.94300000001,95265.63600000004,0.7326980213515815
40,69776.66700000002,95265.63600000004,0.7324431970411659
41,69776.66700000002,95265.63600000004,0.7324431970411659
42,69776.66700000002,95265.63600000004,0.7324431970411659
43,69775.986,95265.63600000004,0.7324360486083352
44,69775.854,95265.63600000004,0.7324346630090202
45,69773.67400000001,95265.63600000004,0.732411779626391
46,69773.67400000001,95265.63600000004,0.732411779626391
47,69771.13900000001,95265.63600000004,0.7323851698213611
48,69770.99900000001,95265.63600000004,0.7323837002463299
49,69761.02200000001,95265.63600000004,0.7322789720314257
50,69761.02200000001,95265.63600000004,0.7322789720314257
