Iteration,Total LLM Time (ms),Total Postgres Time (ms),Relative Time
2,39388.45699999999,39556.634,0.995748450184108
3,39162.312999999995,39556.634,0.9900314824562676
4,39011.200999999994,39556.634,0.9862113394178078
5,42830.687,39556.634,1.0827687461981725
6,42818.22299999999,39556.634,1.0824536536652738
7,42801.57199999999,39556.634,1.082032712894631
8,48272.936000000016,39556.634,1.220349941807486
9,38933.478,39556.634,0.9842464856842977
10,38022.09999999999,39556.634,0.9612066587869936
11,38016.17799999999,39556.634,0.9610569493855315
12,38013.94399999999,39556.634,0.9610004733972054
13,37975.97699999999,39556.634,0.9600406596779694
14,37972.57699999999,39556.634,0.9599547069652082
15,37918.754,39556.634,0.9585940502419898
16,37913.485,39556.634,0.9584608488174197
17,37908.225000000006,39556.634,0.9583278749147364
18,37872.421,39556.634,0.9574227422889421
19,37872.188,39556.634,0.957416852000097
20,37865.396,39556.634,0.9572451488162517
21,37865.03,39556.634,0.957235896259525
22,37851.527,39556.634,0.9568945375888152
23,36844.053,39556.634,0.9314253836663656
24,36835.132,39556.634,0.931199858916206
25,36834.706,39556.634,0.9311890895469013
26,36834.706,39556.634,0.9311890895469013
27,36833.833999999995,39556.634,0.931167045204099
28,36833.833999999995,39556.634,0.931167045204099
29,36833.833999999995,39556.634,0.931167045204099
30,36833.72699999999,39556.634,0.9311643402216678
31,36833.72699999999,39556.634,0.9311643402216678
32,36829.691,39556.634,0.9310623092955786
33,36829.059,39556.634,0.931046332203089
34,36829.059,39556.634,0.931046332203089
35,36814.052,39556.634,0.930666952097087
36,46023.183999999994,39556.634,1.1634757396193012
37,36813.403999999995,39556.634,0.930650570521243
38,36705.102,39556.634,0.9279126732572848
39,36656.722,39556.634,0.9266896167151129
40,36656.642,39556.634,0.926687594298342
41,36656.642,39556.634,0.926687594298342
42,36656.100999999995,39556.634,0.926673917704929
43,36656.100999999995,39556.634,0.926673917704929
44,36655.857,39556.634,0.9266677493337782
45,36653.078,39556.634,0.9265974956312006
46,36652.595,39556.634,0.9265852852899467
47,36652.595,39556.634,0.9265852852899467
48,36651.159,39556.634,0.9265489829089099
49,36632.35100000001,39556.634,0.9260735127260831
50,36606.562000000005,39556.634,0.9254215613997897
