Iteration,Total LLM Time (ms),Total Postgres Time (ms),Relative Time
2,142302.73799999995,94432.483,1.506925725970797
3,96135.07199999996,94432.483,1.0180296964128326
4,94860.72999999998,94432.483,1.0045349543546365
5,93116.64499999996,94432.483,0.9860658328765958
6,92971.631,94432.483,0.9845301960343456
7,92889.19099999996,94432.483,0.9836571913501413
8,92767.81799999996,94432.483,0.9823719026852229
9,92467.967,94432.483,0.9791966075910554
10,91966.027,94432.483,0.9738812755775998
11,91961.741,94432.483,0.9738358886528484
12,91890.028,94432.483,0.9730764783554406
13,91205.006,94432.483,0.9658223855026665
14,86098.80700000002,94432.483,0.9117499007200734
15,86093.77900000002,94432.483,0.9116966563295813
16,86090.34900000003,94432.483,0.9116603340822886
17,86089.13800000004,94432.483,0.9116475101051832
18,86089.13800000004,94432.483,0.9116475101051832
19,86077.44700000003,94432.483,0.91152370736667
20,86076.15800000002,94432.483,0.9115100574025998
21,86058.94200000002,94432.483,0.9113277472540887
22,86057.48500000003,94432.483,0.9113123182411716
23,86049.81300000004,94432.483,0.9112310750104924
24,85634.41600000003,94432.483,0.9068321967134978
25,85624.86700000003,94432.483,0.9067310768477838
26,85623.92100000003,94432.483,0.906721059108443
27,85623.72900000002,94432.483,0.9067190259097606
28,85619.32400000001,94432.483,0.9066723788254092
29,85610.88200000001,94432.483,0.9065829816208477
30,85547.57100000001,94432.483,0.9059125449449424
31,85538.47200000001,94432.483,0.90581619038864
32,85524.935,94432.483,0.9056728392919627
33,85517.31099999999,94432.483,0.9055921043609538
34,85517.09799999998,94432.483,0.9055898487811656
35,85517.09799999998,94432.483,0.9055898487811656
36,85517.02799999999,94432.483,0.9055891075108128
37,85459.26899999999,94432.483,0.90497746416347
38,85453.28199999999,94432.483,0.904914064369143
39,85453.28199999999,94432.483,0.904914064369143
40,85451.46099999998,94432.483,0.9048947807503906
41,80181.90699999999,94432.483,0.8490924357035068
42,80178.65899999999,94432.483,0.8490580407591315
43,80161.22699999998,94432.483,0.8488734432621028
44,80155.77199999998,94432.483,0.8488156771224579
45,80155.28699999998,94432.483,0.8488105411778698
46,80154.69099999999,94432.483,0.8488042297902937
47,80151.97499999999,94432.483,0.8487754685006006
48,80150.33699999998,94432.483,0.8487581227743423
49,80148.96099999998,94432.483,0.8487435515171192
50,80071.34999999999,94432.483,0.8479216838976902
