Iteration,Total LLM Time (ms),Total Postgres Time (ms),Relative Time
2,64956.372,37962.967,1.711045714630261
3,34044.215000000004,37962.967,0.8967743485381426
4,33175.520000000004,37962.967,0.8738916534105463
5,31649.804999999997,37962.967,0.8337020918307043
6,23808.932999999994,37962.967,0.6271620708676431
7,30070.61899999999,37962.967,0.792104026010401
8,29720.155999999995,37962.967,0.7828723186994314
9,29720.155999999995,37962.967,0.7828723186994314
10,21949.091999999993,37962.967,0.5781711424188735
11,38982.923,37962.967,1.0268671308014468
12,21327.25699999999,37962.967,0.561791100258312
13,20820.30799999999,37962.967,0.5484373231417868
14,20820.30799999999,37962.967,0.5484373231417868
15,28439.927999999996,37962.967,0.7491492432612024
16,20595.05499999999,37962.967,0.5425038301142266
17,28439.927999999996,37962.967,0.7491492432612024
18,28439.927999999996,37962.967,0.7491492432612024
19,29961.250999999993,37962.967,0.7892231131460298
20,30172.713999999993,37962.967,0.7947933574317306
21,20286.31099999999,37962.967,0.5343710621985893
22,28079.928999999996,37962.967,0.7396663437818229
23,20235.055999999993,37962.967,0.5330209306348472
24,28079.928999999996,37962.967,0.7396663437818229
25,27907.688,37962.967,0.7351292642643027
26,19917.181999999993,37962.967,0.5246476651838091
27,19915.88099999999,37962.967,0.524613394943551
28,19915.88099999999,37962.967,0.524613394943551
29,19915.88099999999,37962.967,0.524613394943551
30,29160.677999999996,37962.967,0.7681348509983427
31,29350.80999999999,37962.967,0.773143205587698
32,19755.533999999992,37962.967,0.520389620758567
33,19754.98799999999,37962.967,0.520375238321072
34,27599.861,37962.967,0.7270206514680478
35,27599.861,37962.967,0.7270206514680478
36,19620.79199999999,37962.967,0.5168403196725901
37,19620.79199999999,37962.967,0.5168403196725901
38,19614.24399999999,37962.967,0.5166678357884934
39,19611.11499999999,37962.967,0.5165854133582339
40,37894.80299999999,37962.967,0.998204460678745
41,27455.988,37962.967,0.7232308265052098
42,19611.11499999999,37962.967,0.5165854133582339
43,19603.253999999994,37962.967,0.5163783431363517
44,19603.253999999994,37962.967,0.5163783431363517
45,19603.253999999994,37962.967,0.5163783431363517
46,27448.127,37962.967,0.7230237562833275
47,29506.749,37962.967,0.7772508666142981
48,19603.253999999994,37962.967,0.5163783431363517
49,19603.253999999994,37962.967,0.5163783431363517
50,37242.769,37962.967,0.9810289327491185
