sql_file,min_time_idx0_ms,min_time_other_ms,performance_gain
imdbload_job27c.sql,249.1825,497.0007,0.0000
imdbload_job1d.sql,73.3368,74.1756,0.0000
imdbload_job28a.sql,1171.6182,1806.6723,0.0000
imdbload_job26b.sql,316.9453,318.4285,0.0000
imdbload_job30b.sql,391.3519,388.8292,0.0064
imdbload_job22a.sql,427.1281,422.0924,0.0118
imdbload_job6e.sql,48.9852,51.4970,0.0000
imdbload_job9a.sql,169.0235,168.6873,0.0020
imdbload_job20c.sql,761.3876,1535.1577,0.0000
imdbload_job2d.sql,509.5236,356.4639,0.3004
imdbload_job31b.sql,304.5776,302.5451,0.0067
imdbload_job22d.sql,692.4899,690.6180,0.0027
imdbload_job16b.sql,10000.0000,1998.8842,0.8001
imdbload_job15a.sql,224.6037,224.9749,0.0000
imdbload_job5b.sql,106.4227,83.8022,0.2126
imdbload_job29a.sql,396.3420,448.3595,0.0000
imdbload_job13a.sql,828.6114,661.8342,0.2013
imdbload_job1a.sql,78.4199,?,0.0000
imdbload_job13c.sql,384.6102,386.9691,0.0000
imdbload_job7a.sql,590.6432,567.9884,0.0384
imdbload_job8a.sql,523.0110,544.6432,0.0000
imdbload_job16a.sql,205.9591,206.0952,0.0000
imdbload_job15c.sql,536.1171,538.9421,0.0000
imdbload_job15b.sql,79.2046,?,0.0000
imdbload_job7c.sql,2290.4670,2287.8892,0.0011
imdbload_job19b.sql,156.2874,?,0.0000
imdbload_job18c.sql,2413.2888,1520.7722,0.3698
imdbload_job19a.sql,209.3663,213.8762,0.0000
imdbload_job25a.sql,1106.5726,1119.0579,0.0000
imdbload_job22b.sql,338.0830,334.1584,0.0116
imdbload_job8b.sql,128.8073,124.0180,0.0372
imdbload_job3b.sql,115.6871,481.9374,0.0000
imdbload_job11b.sql,75.6860,75.9957,0.0000
imdbload_job14b.sql,139.5969,141.1476,0.0000
imdbload_job25b.sql,173.8055,1347.7852,0.0000
imdbload_job17c.sql,3968.8957,1115.5372,0.7189
imdbload_job20b.sql,1222.6183,1111.8422,0.0906
imdbload_job1b.sql,75.7470,75.8059,0.0000
imdbload_job19c.sql,1774.9031,3459.5671,0.0000
imdbload_job4a.sql,115.9236,115.4706,0.0039
imdbload_job28c.sql,893.0283,657.8438,0.2634
imdbload_job23b.sql,166.6813,164.8498,0.0110
imdbload_job21b.sql,120.2061,162.6434,0.0000
imdbload_job13d.sql,1209.8196,2898.4661,0.0000
imdbload_job31c.sql,877.0907,922.0390,0.0000
imdbload_job25c.sql,3625.2737,1649.6592,0.5450
imdbload_job28b.sql,810.6349,820.9763,0.0000
imdbload_job3a.sql,154.9106,153.6255,0.0083
imdbload_job4c.sql,119.6518,121.4669,0.0000
imdbload_job15d.sql,517.2918,514.7896,0.0048
imdbload_job32a.sql,41.1158,41.5316,0.0000
imdbload_job12b.sql,88.6643,89.0467,0.0000
imdbload_job20a.sql,1496.6931,1061.2326,0.2909
imdbload_job2c.sql,391.0522,203.2921,0.4801
imdbload_job6b.sql,190.8169,192.9953,0.0000
imdbload_job13b.sql,392.0908,391.9775,0.0003
imdbload_job23a.sql,236.8057,236.1827,0.0026
imdbload_job14a.sql,255.4188,?,0.0000
imdbload_job12a.sql,162.9078,168.4020,0.0000
imdbload_job11a.sql,98.3458,99.9224,0.0000
imdbload_job9b.sql,167.0873,?,0.0000
imdbload_job9c.sql,270.5770,?,0.0000
imdbload_job16c.sql,1149.8854,1567.4622,0.0000
imdbload_job6c.sql,40.5591,41.7559,0.0000
imdbload_job2a.sql,391.8188,311.3401,0.2054
imdbload_job8c.sql,1703.1457,1408.4961,0.1730
imdbload_job17d.sql,3866.0793,1226.6271,0.6827
imdbload_job5a.sql,105.7217,95.9964,0.0920
imdbload_job6a.sql,52.3891,48.8379,0.0678
imdbload_job24b.sql,259.0606,260.3405,0.0000
imdbload_job7b.sql,214.7667,200.5911,0.0660
imdbload_job21a.sql,121.6469,120.7566,0.0073
imdbload_job5c.sql,124.9065,129.0803,0.0000
imdbload_job27b.sql,232.2879,?,0.0000
imdbload_job12c.sql,458.7264,1390.5613,0.0000
imdbload_job32b.sql,133.7099,122.9606,0.0804
imdbload_job1c.sql,78.8465,81.8720,0.0000
imdbload_job24a.sql,468.9152,694.2008,0.0000
imdbload_job10b.sql,158.4046,156.1782,0.0141
imdbload_job10a.sql,226.5635,214.2472,0.0544
imdbload_job30a.sql,1204.2916,1203.6500,0.0005
imdbload_job33c.sql,404.0020,750.5035,0.0000
imdbload_job29c.sql,572.8204,478.6751,0.1644
imdbload_job18a.sql,206.8706,209.2586,0.0000
imdbload_job33b.sql,298.0962,?,0.0000
imdbload_job31a.sql,865.4778,889.0717,0.0000
imdbload_job23c.sql,272.1810,?,0.0000
imdbload_job4b.sql,78.0363,78.8925,0.0000
imdbload_job22c.sql,1519.0403,1511.4017,0.0050
imdbload_job27a.sql,239.6197,?,0.0000
imdbload_job11c.sql,173.6538,233.2895,0.0000
imdbload_job21c.sql,120.8332,285.0327,0.0000
imdbload_job14c.sql,432.3833,427.5494,0.0112
imdbload_job26c.sql,934.9766,2172.0424,0.0000
imdbload_job33a.sql,292.2535,?,0.0000
imdbload_job26a.sql,1500.0868,1437.9177,0.0414
imdbload_job16d.sql,973.7091,1529.8102,0.0000
imdbload_job17b.sql,3957.9134,2402.4935,0.3930
imdbload_job18b.sql,156.0616,159.5449,0.0000
imdbload_job3c.sql,272.9881,271.4813,0.0055
imdbload_job6f.sql,2792.9821,1394.5560,0.5007
imdbload_9a2.sql,2226.3818,2236.2745,0.0000
imdbload_1a807.sql,769.8135,770.2794,0.0000
imdbload_20a_job_middle.sql,1556.8056,1080.8105,0.3058
imdbload_9b2.sql,846.2443,855.1238,0.0000
imdbload_8a117.sql,5740.6874,10000.0000,0.0000
imdbload_5a250.sql,1632.8406,1640.6188,0.0000
imdbload_3a1108.sql,365.5310,364.9528,0.0016
imdbload_7a64.sql,1521.2886,1523.0134,0.0000
imdbload_11b2.sql,3781.4755,3975.3609,0.0000
imdbload_6a107.sql,2415.2732,2434.3688,0.0000
imdbload_15a_job_middle.sql,223.4886,223.9583,0.0000
imdbload_11a1.sql,7911.1855,10000.0000,0.0000
imdbload_11b1.sql,726.8989,725.9748,0.0013
imdbload_1a796.sql,93.4329,93.9100,0.0000
imdbload_2a5.sql,756.4294,762.6688,0.0000
imdbload_2b180.sql,4561.3902,4595.7730,0.0000
imdbload_2c241.sql,283.1337,285.4466,0.0000
imdbload_4a326.sql,485.5986,508.4352,0.0000
imdbload_7a63.sql,3302.8071,1617.2919,0.5103
imdbload_10a2.sql,642.9961,643.5044,0.0000
imdbload_11a2.sql,1049.5479,6355.4034,0.0000
imdbload_5a276.sql,303.7071,306.3788,0.0000
imdbload_9a1.sql,2396.5371,2399.5066,0.0000
imdbload_6a104.sql,2830.5700,2833.0426,0.0000
imdbload_33b_job_middle.sql,298.7182,275.0359,0.0793
imdbload_3a1092.sql,114.3887,115.3963,0.0000
imdbload_4a279.sql,288.2161,275.3310,0.0447
imdbload_3b1.sql,242.4009,242.4803,0.0000
imdbload_10a1.sql,8629.8728,8634.4802,0.0000
imdbload_2a404.sql,145.8147,146.9235,0.0000
imdbload_8a6.sql,2440.4635,2440.0458,0.0002
imdbload_2c242.sql,122.9343,123.4705,0.0000
imdbload_2b179.sql,904.2375,902.2515,0.0022
imdbload_9b1.sql,1310.0560,1315.2184,0.0000
imdbload_3b2.sql,548.5442,550.4065,0.0000
