Iteration,Total LLM Time (ms),Total Postgres Time (ms),Relative Time
2,65896.643,32254.275,2.043035939
3,38568.731,32254.275,1.195771134
4,40885.789,32254.275,1.267608371
5,22090.649,32254.275,0.684890577
6,32409.894,32254.275,1.004824756
7,22755.694,32254.275,0.705509394
8,32401.436,32254.275,1.004562527
9,32673.966,32254.275,1.01301195
10,13001.668,32254.275,0.403099062
11,21834.682,32254.275,0.676954667
12,21935.267,32254.275,0.680073169
13,41488.269,32254.275,1.286287446
14,21935.267,32254.275,0.680073169
15,21935.267,32254.275,0.680073169
16,11616.733,32254.275,0.360161033
17,30962.329,32254.275,0.959944969
18,11616.733,32254.275,0.360161033
19,21363.06,32254.275,0.662332668
20,21363.06,32254.275,0.662332668
21,11046.759,32254.275,0.342489763
22,11046.759,32254.275,0.342489763
23,30436.317,32254.275,0.943636681
24,20793.086,32254.275,0.644661398
25,40085.472,32254.275,1.242795629
26,10581.484,32254.275,0.328064543
27,20327.811,32254.275,0.630236178
28,10581.484,32254.275,0.328064543
29,10581.484,32254.275,0.328064543
30,20327.811,32254.275,0.630236178
31,38399.566,32254.275,1.190526403
32,10546.198,32254.275,0.326970549
33,20521.92,32254.275,0.636254264
34,10546.198,32254.275,0.326970549
35,20463.533,32254.275,0.634444054
36,30232.877,32254.275,0.9373293
37,20277.429,32254.275,0.628674152
38,28239.721,32254.275,0.875534204
39,10531.102,32254.275,0.326502518
40,20277.429,32254.275,0.628674152
41,20030.963,32254.275,0.621032809
42,10378.142,32254.275,0.321760201
43,38155.989,32254.275,1.182974629
44,20124.469,32254.275,0.623931835
45,10378.142,32254.275,0.321760201
46,30086.818,32254.275,0.932800939
47,10374.831,32254.275,0.321657548
48,18430.629,32254.275,0.571416626
49,29272.515,32254.275,0.90755458
50,10374.814,32254.275,0.321657021
