Iteration,Total LLM Time (ms),Total Postgres Time (ms),Relative Time
2,56781.358,31508.705,1.802084789
3,32104.622,31508.705,1.018912773
4,38754.663,31508.705,1.229966862
5,32537.551,31508.705,1.032652754
6,31943.042,31508.705,1.013784667
7,12349.138,31508.705,0.391927818
8,12349.138,31508.705,0.391927818
9,22277.167,31508.705,0.707016267
10,12349.138,31508.705,0.391927818
11,21194.841,31508.705,0.672666204
12,11429,31508.705,0.362725158
13,11429,31508.705,0.362725158
14,40903.222,31508.705,1.29815624
15,11428.588,31508.705,0.362712082
16,11216.979,31508.705,0.355996192
17,11216.979,31508.705,0.355996192
18,11216.979,31508.705,0.355996192
19,30885.838,31508.705,0.980231907
20,21184.909,31508.705,0.67235099
21,20825,31508.705,0.660928464
22,20624.325,31508.705,0.654559589
23,10863.532,31508.705,0.344778752
24,10863.532,31508.705,0.344778752
25,10863.532,31508.705,0.344778752
26,10703.31,31508.705,0.339693745
27,10703.31,31508.705,0.339693745
28,20464.103,31508.705,0.649474582
29,10693.63,31508.705,0.339386528
30,10693.63,31508.705,0.339386528
31,19980.242,31508.705,0.634118159
32,10219.449,31508.705,0.324337322
33,29942.41,31508.705,0.950290087
34,18259.499,31508.705,0.579506489
35,19863.645,31508.705,0.630417689
36,10046.114,31508.705,0.318836144
37,10046.114,31508.705,0.318836144
38,10045.637,31508.705,0.318821005
39,20007.805,31508.705,0.634992933
40,20022.655,31508.705,0.635464231
41,19886.093,31508.705,0.631130127
42,9914.757,31508.705,0.314667232
43,19842.786,31508.705,0.629755682
44,9914.757,31508.705,0.314667232
45,9914.757,31508.705,0.314667232
46,9758.656,31508.705,0.309713014
47,9754.333,31508.705,0.309575814
48,19723.5,31508.705,0.625969871
49,19515.126,31508.705,0.619356651
50,47431.47,31508.705,1.505344951
