Query Name,Performance Gain (%),Postgres Time,LLM Time,Same as Postgres Plan
imdbload_9a2.sql,2.659587644188296,1089.981,1060.992,False
imdbload_1a807.sql,1.7358296078385966,345.368,339.373,True
imdbload_20a_job_middle.sql,61.42539984330925,1028.778,396.847,False
imdbload_9b2.sql,0.9447848958373657,258.154,255.715,False
imdbload_8a117.sql,76.62256794639526,3176.585,742.6040000000003,False
imdbload_5a250.sql,26.57179071827422,613.011,450.123,False
imdbload_3a1108.sql,85.81484273530667,220.202,31.23599999999999,False
imdbload_7a64.sql,70.3488560160927,1823.933,540.817,False
imdbload_11b2.sql,44.66306971404426,2006.884,1110.548,False
imdbload_6a107.sql,9.071213417372176,610.194,554.842,False
imdbload_15a_job_middle.sql,3.226132583837998,98.911,95.72,True
imdbload_11a1.sql,17.66728643655026,2965.079,2441.23,False
imdbload_11b1.sql,25.29547354124223,306.288,228.811,False
imdbload_1a796.sql,7.108022146306993,42.445,39.428,True
imdbload_2a5.sql,3.8299387746716143,365.045,351.064,False
imdbload_2b180.sql,54.060772256263924,2752.506,1264.48,False
imdbload_2c241.sql,34.844280640811114,141.633,92.282,False
imdbload_4a326.sql,41.712889657383215,205.886,120.005,False
imdbload_7a63.sql,94.80899341582018,2753.57,142.9380000000001,False
imdbload_10a2.sql,9.194470197793793,413.107,375.124,True
imdbload_11a2.sql,8.06303832793806,642.847,591.014,False
imdbload_5a276.sql,7.707274425940044,116.669,107.677,False
imdbload_9a1.sql,20.16936356637869,1344.445,1073.279,False
imdbload_6a104.sql,28.115610789080776,762.178,547.887,False
imdbload_33b_job_middle.sql,84.49735382584747,78.793,12.215000000000003,False
imdbload_3a1092.sql,0.014784697837742878,27.055,27.051,False
imdbload_4a279.sql,50.45691282222806,167.428,82.949,False
imdbload_3b1.sql,4.561274958783656,136.475,130.25,True
imdbload_10a1.sql,78.77046143193421,5880.759,1248.4580000000005,False
imdbload_2a404.sql,26.25316949483128,41.016,30.248,False
imdbload_8a6.sql,-3.0963183760482194,212.026,218.591,False
imdbload_2c242.sql,14.191328824426282,51.158,43.898,True
imdbload_2b179.sql,13.777344920587344,533.92,460.36,False
imdbload_9b1.sql,20.661831271670717,279.467,221.724,False
imdbload_3b2.sql,6.431694912073263,372.981,348.992,False

Overall Weighted Performance Gain,50.48%
Filtered Weighted Performance Gain (Same as Postgres Plan = False),52.06%

Overall Arithmetic Performance Gain,29.49%
Filtered Arithmetic Performance Gain (Same as Postgres Plan = False),34.21%
