Query Name,Performance Gain (%),Postgres Time,LLM Time,Same as Postgres Plan
imdbload_9a2.sql,3.34568331708008,1072.606,1036.72,True
imdbload_1a807.sql,0.4803642711525118,327.668,326.094,True
imdbload_20a_job_middle.sql,59.533034423768974,1044.017,422.48199999999997,False
imdbload_9b2.sql,6.3355738604295,253.363,237.311,True
imdbload_8a117.sql,71.67934187406074,3208.626,908.7039999999997,False
imdbload_5a250.sql,33.85557344476806,604.958,400.146,False
imdbload_3a1108.sql,13.781145824182433,216.281,186.475,True
imdbload_7a64.sql,82.59338934544857,1806.871,314.5149999999999,False
imdbload_11b2.sql,53.897489630605456,2003.251,923.549,False
imdbload_6a107.sql,18.509532821055036,593.948,484.011,False
imdbload_15a_job_middle.sql,2.3625947622329457,92.864,90.67,False
imdbload_11a1.sql,18.249665203166597,2949.55,2411.267,False
imdbload_11b1.sql,24.853957151983348,303.678,228.202,False
imdbload_1a796.sql,5.4573792111257555,41.705,39.429,True
imdbload_2a5.sql,2.650807952706307,354.043,344.658,True
imdbload_2b180.sql,46.90591121022281,2746.172,1458.055,False
imdbload_2c241.sql,35.84584120646013,140.245,89.973,False
imdbload_4a326.sql,34.696354499237174,205.157,133.975,False
imdbload_7a63.sql,93.01253655437344,2718.211,189.9340000000002,False
imdbload_10a2.sql,7.3859084318399715,406.91,376.856,True
imdbload_11a2.sql,11.925348407518644,628.359,553.425,False
imdbload_5a276.sql,0.051201943938208365,115.23,115.171,True
imdbload_9a1.sql,2.5149748254751527,1331.902,1298.405,True
imdbload_6a104.sql,16.49946260660103,740.612,618.415,False
imdbload_33b_job_middle.sql,89.47927048681673,77.257,8.128,False
imdbload_3a1092.sql,2.113680732842765,26.636,26.073,False
imdbload_4a279.sql,24.32373140604147,164.099,124.184,False
imdbload_3b1.sql,7.038056286205164,131.542,122.284,False
imdbload_10a1.sql,1.1253327393406476,5881.105,5814.923,True
imdbload_2a404.sql,5.631891851888401,40.537,38.254,True
imdbload_8a6.sql,66.5137591427717,197.287,66.064,False
imdbload_2c242.sql,8.921175322563165,46.115,42.001,True
imdbload_2b179.sql,1.3315968581855167,519.827,512.905,True
imdbload_9b1.sql,24.945971773007937,272.08,204.207,False
imdbload_3b2.sql,67.36491799595596,356.08,116.207,False

Overall Weighted Performance Gain,35.91%
Filtered Weighted Performance Gain (Same as Postgres Plan = False),52.91%

Overall Arithmetic Performance Gain,27.01%
Filtered Arithmetic Performance Gain (Same as Postgres Plan = False),40.28%
