,sql_name,postgres_time_ms,llm_time_ms,plans_equal
19,imdbload_e10b.sql,1173.153,826.901,FALSE
6,imdbload_e12a.sql,839.422,952.632,FALSE
22,imdbload_e12b.sql,536.677,1274.859,FALSE
18,imdbload_e1a.sql,610.087,447.126,FALSE
0,imdbload_e1b.sql,399.735,419.323,FALSE
23,imdbload_e2a.sql,229.026,624.067,FALSE
14,imdbload_e2b.sql,1165.056,1064.625,FALSE
7,imdbload_e4b.sql,106.479,161.682,FALSE
16,imdbload_e6a.sql,259.614,325.132,FALSE
20,imdbload_e6b.sql,225.573,1555.442,FALSE
21,imdbload_e7a.sql,791.948,1005.758,FALSE
10,imdbload_e8a.sql,788.014,905.302,FALSE
3,imdbload_e8b.sql,287.717,324.264,FALSE
11,imdbload_e9a.sql,832.157,929.172,FALSE
15,imdbload_e9b.sql,4362.955,1224.356,FALSE
12,imdbload_e10a.sql,1777.459,1786.732,TRUE
9,imdbload_e11a.sql,1840.668,1905.64,TRUE
4,imdbload_e11b.sql,652.35,647.747,TRUE
5,imdbload_e3a.sql,223.367,252.624,TRUE
8,imdbload_e3b.sql,323.12,355.304,TRUE
13,imdbload_e4a.sql,427.185,420.099,TRUE
1,imdbload_e5a.sql,161.942,151.499,TRUE
17,imdbload_e5b.sql,86.822,79.944,TRUE
2,imdbload_e7b.sql,25.653,10000,TRUE
,,,,
,,18126.179,27640.23,1.524879016
