,sql_name,postgres_time_ms,llm_time_ms,plans_equal
20,imdbload_10a_89287593fc776a3b61f85d075e3e9e5205e07a4c.sql,459.144,588.653,FALSE
7,imdbload_10a_a018b472ba6a10dc924daba32f6c90a6c389f39c.sql,313.444,4101.858,FALSE
17,imdbload_11a_afaf2d4544415530a3d2f589f521a587db8444e7.sql,373.613,913.721,FALSE
1,imdbload_11b_011bcfa5a32aa62a5e3db459bb61d192c34d88d1.sql,314.994,1190.519,FALSE
0,imdbload_11b_18efcb6ed6d422ed7cac61a63488ac0cab7af001.sql,155.198,227.749,FALSE
6,imdbload_1a2205.sql,440.438,659.199,FALSE
27,imdbload_1a2210.sql,588.699,647.926,FALSE
16,imdbload_2a498.sql,2059.59,5192.917,FALSE
25,imdbload_2a501.sql,141.053,1475.258,FALSE
12,imdbload_2b482.sql,2058.971,3827.299,FALSE
18,imdbload_2c274.sql,76.23,749.087,FALSE
9,imdbload_2c275.sql,68.133,705.827,FALSE
11,imdbload_3a1223.sql,1568.24,1848.763,FALSE
31,imdbload_3a1245.sql,810.965,1709.27,FALSE
8,imdbload_3b_f3f84c3944f4fb5d1233e5289d7d51cbc9340189.sql,30.125,174.166,FALSE
23,imdbload_5a772.sql,573.256,569.91,FALSE
14,imdbload_5a780.sql,1676.715,1629.465,FALSE
2,imdbload_7a153.sql,235.968,963.552,FALSE
3,imdbload_7a155.sql,2313.558,1257.024,FALSE
30,imdbload_8a451.sql,365.572,970.026,FALSE
19,imdbload_8a452.sql,2420.857,1807.648,FALSE
13,imdbload_9b_57426e5ca7a9f87c3a4153e0b7d30b9494fe95ef.sql,129.545,120.733,FALSE
10,imdbload_11a_aedf5bc0697741d5e9aa0e74244ec670c7f9390f.sql,397.029,405.187,TRUE
5,imdbload_2b483.sql,19.653,10000,TRUE
29,imdbload_3b_f161cc61f4db0dabb4c83e8326076e65f06ae0b2.sql,120.743,116.16,TRUE
21,imdbload_4a114.sql,65.172,58.002,TRUE
26,imdbload_4a86.sql,290.861,289.089,TRUE
28,imdbload_6a406.sql,163.728,165.882,TRUE
22,imdbload_6a408.sql,853.778,873.281,TRUE
4,imdbload_9a_f533274d004749a87492f77e1693cc7aa789fb3d.sql,340.063,426.872,TRUE
24,imdbload_9a_f5967535fa4e43f43e047bb7585b38af444a9afb.sql,1934.412,1930.861,TRUE
15,imdbload_9b_85150b8ed08faed88c92cf77b4a0e694e03fb904.sql,170.206,174.224,TRUE
,,,,
,,21529.953,45770.128,2.125881464
