,sql_name,postgres_time_ms,llm_time_ms,plans_equal
20,imdbload_10a_89287593fc776a3b61f85d075e3e9e5205e07a4c.sql,456.212,466.442,FALSE
17,imdbload_11a_afaf2d4544415530a3d2f589f521a587db8444e7.sql,376.929,691.391,FALSE
0,imdbload_11b_18efcb6ed6d422ed7cac61a63488ac0cab7af001.sql,152.149,293.289,FALSE
6,imdbload_1a2205.sql,444.155,523.425,FALSE
16,imdbload_2a498.sql,2066.811,2385.652,FALSE
12,imdbload_2b482.sql,2062.692,3422.061,FALSE
5,imdbload_2b483.sql,20.815,25.035,FALSE
18,imdbload_2c274.sql,77.19,907.369,FALSE
9,imdbload_2c275.sql,68.4,132.606,FALSE
11,imdbload_3a1223.sql,1563.387,1864.214,FALSE
29,imdbload_3b_f161cc61f4db0dabb4c83e8326076e65f06ae0b2.sql,114.191,1529.336,FALSE
8,imdbload_3b_f3f84c3944f4fb5d1233e5289d7d51cbc9340189.sql,28.667,24.835,FALSE
21,imdbload_4a114.sql,63.348,441.286,FALSE
14,imdbload_5a780.sql,1723.741,1659.698,FALSE
28,imdbload_6a406.sql,165.895,531.92,FALSE
2,imdbload_7a153.sql,235.37,784.708,FALSE
3,imdbload_7a155.sql,2326.201,1286.291,FALSE
13,imdbload_9b_57426e5ca7a9f87c3a4153e0b7d30b9494fe95ef.sql,127.252,441.198,FALSE
15,imdbload_9b_85150b8ed08faed88c92cf77b4a0e694e03fb904.sql,167.236,171.442,FALSE
7,imdbload_10a_a018b472ba6a10dc924daba32f6c90a6c389f39c.sql,298.901,337.349,TRUE
10,imdbload_11a_aedf5bc0697741d5e9aa0e74244ec670c7f9390f.sql,400.474,413.384,TRUE
1,imdbload_11b_011bcfa5a32aa62a5e3db459bb61d192c34d88d1.sql,286.596,323.432,TRUE
27,imdbload_1a2210.sql,588.23,582.561,TRUE
25,imdbload_2a501.sql,139.193,188.507,TRUE
31,imdbload_3a1245.sql,814.857,880.092,TRUE
26,imdbload_4a86.sql,285.248,284.478,TRUE
23,imdbload_5a772.sql,578.688,592.663,TRUE
22,imdbload_6a408.sql,851.567,893.955,TRUE
30,imdbload_8a451.sql,358.986,10000,TRUE
19,imdbload_8a452.sql,2410.916,10000,TRUE
4,imdbload_9a_f533274d004749a87492f77e1693cc7aa789fb3d.sql,341.43,424.442,TRUE
24,imdbload_9a_f5967535fa4e43f43e047bb7585b38af444a9afb.sql,1924.793,1937.471,TRUE
,,,,
,,21520.52,44440.532,2.065030585
