sqlid,execution_time_ms
imdbload_10a1.sql,448.64
imdbload_10a2.sql,1269.427
imdbload_11a1.sql,632.196
imdbload_11a2.sql,775.381
imdbload_11b1.sql,927.418
imdbload_11b2.sql,183.682
imdbload_15a_job_middle.sql,17.535
imdbload_1a796.sql,1001.965
imdbload_1a807.sql,1008.863
imdbload_20a_job_middle.sql,464.194
imdbload_2a404.sql,1197.037
imdbload_2a5.sql,193.659
imdbload_2b179.sql,3767.342
imdbload_2b180.sql,17.465
imdbload_2c241.sql,647.582
imdbload_2c242.sql,721.701
imdbload_33b_job_middle.sql,13.179
imdbload_3a1092.sql,619.517
imdbload_3a1108.sql,1895.009
imdbload_3b1.sql,367.499
imdbload_3b2.sql,24.436
imdbload_4a279.sql,278.376
imdbload_4a326.sql,481.001
imdbload_5a250.sql,10000.0
imdbload_5a276.sql,1651.342
imdbload_6a104.sql,461.072
imdbload_6a107.sql,894.405
imdbload_7a63.sql,223.49
imdbload_7a64.sql,1327.22
imdbload_8a117.sql,1756.813
imdbload_8a6.sql,5043.603
imdbload_9a1.sql,389.711
imdbload_9a2.sql,1930.702
imdbload_9b1.sql,121.083
imdbload_9b2.sql,296.456
