sqlid,execution_time_ms
imdbload_10a1.sql,597.263
imdbload_10a2.sql,7431.699
imdbload_11a1.sql,898.79
imdbload_11a2.sql,848.583
imdbload_11b1.sql,1069.413
imdbload_11b2.sql,864.407
imdbload_15a_job_middle.sql,16.252
imdbload_1a796.sql,920.831
imdbload_1a807.sql,643.219
imdbload_20a_job_middle.sql,867.069
imdbload_2a404.sql,10000.0
imdbload_2a5.sql,368.752
imdbload_2b179.sql,7464.65
imdbload_2b180.sql,372.003
imdbload_2c241.sql,753.968
imdbload_2c242.sql,1152.022
imdbload_33b_job_middle.sql,13.446
imdbload_3a1092.sql,754.566
imdbload_3a1108.sql,878.66
imdbload_3b1.sql,483.953
imdbload_3b2.sql,24.287
imdbload_4a279.sql,288.241
imdbload_4a326.sql,460.996
imdbload_5a250.sql,578.905
imdbload_5a276.sql,10000.0
imdbload_6a104.sql,169.234
imdbload_6a107.sql,901.676
imdbload_7a63.sql,365.737
imdbload_7a64.sql,1214.917
imdbload_8a117.sql,926.454
imdbload_8a6.sql,906.08
imdbload_9a1.sql,995.018
imdbload_9a2.sql,2228.064
imdbload_9b1.sql,121.082
imdbload_9b2.sql,295.72
