sqlid,execution_time_ms
imdbload_10a1.sql,5222.218
imdbload_10a2.sql,1116.73
imdbload_11a1.sql,2406.915
imdbload_11a2.sql,1688.657
imdbload_11b1.sql,1390.926
imdbload_11b2.sql,3371.352
imdbload_15a_job_middle.sql,187.751
imdbload_1a796.sql,774.536
imdbload_1a807.sql,335.161
imdbload_20a_job_middle.sql,978.17
imdbload_2a404.sql,44.584
imdbload_2a5.sql,337.594
imdbload_2b179.sql,2521.778
imdbload_2b180.sql,3245.119
imdbload_2c241.sql,513.932
imdbload_2c242.sql,57.231
imdbload_33b_job_middle.sql,17.407
imdbload_3a1092.sql,19.415
imdbload_3a1108.sql,224.99
imdbload_3b1.sql,125.516
imdbload_3b2.sql,416.699
imdbload_4a279.sql,118.559
imdbload_4a326.sql,199.844
imdbload_5a250.sql,836.434
imdbload_5a276.sql,10000.0
imdbload_6a104.sql,844.051
imdbload_6a107.sql,1277.726
imdbload_7a63.sql,1382.413
imdbload_7a64.sql,10000.0
imdbload_8a117.sql,3398.468
imdbload_8a6.sql,1126.018
imdbload_9a1.sql,1481.532
imdbload_9a2.sql,1101.038
imdbload_9b1.sql,771.855
imdbload_9b2.sql,239.644
