sql_file,bao_execution_time,postgres_execution_time
job16a.sql,64.423,64.423
job4a.sql,37.105,37.913
job16c.sql,532.704,568.927
job27a.sql,9.533,9.533
job8d.sql,430.603,436.341
job22d.sql,278.786,320.086
job19b.sql,33.626,35.812
job7b.sql,91.424,106.328
job29b.sql,91.88,91.88
job3b.sql,35.498,47.587
job6e.sql,7.445,8.809
job11d.sql,53.442,64.212
job26c.sql,956.626,1698.199
job2c.sql,125.113,185.638
job10c.sql,524.819,1548.253
job21a.sql,23.063,23.063
job32a.sql,3.524,3.524
job17b.sql,1750.144,2632.448
job2a.sql,184.597,184.597
job28a.sql,278.834,305.389
job19a.sql,73.201,74.107
job22c.sql,521.538,671.324
job26b.sql,42.365,63.868
job33c.sql,5.4,13.605
job28b.sql,141.756,166.821
job9b.sql,69.171,70.084
job9d.sql,815.511,862.076
job25b.sql,81.272,85.004
job18a.sql,682.547,1400.922
job31c.sql,406.556,420.634
job4c.sql,42.507,48.291
job30b.sql,100.434,103.999
job1a.sql,36.427,38.081
job33a.sql,5.044,12.472
job24b.sql,85.903,85.903
job17d.sql,771.285,2531.221
job12c.sql,233.773,256.15
job25c.sql,777.827,2319.496
job15a.sql,85.449,96.635
job1d.sql,35.788,35.788
job19d.sql,1284.661,1640.843
job18b.sql,56.822,73.182
job23c.sql,103.401,117.656
job10b.sql,82.883,93.984
job22b.sql,87.578,89.307
job25a.sql,710.534,807.67
job2d.sql,230.148,240.167
job6c.sql,3.999,3.999
job1c.sql,37.731,37.731
job14c.sql,198.338,262.625
job19c.sql,692.131,692.131
job24a.sql,146.721,171.668
job2b.sql,183.916,192.523
job5a.sql,30.504,40.482
job17f.sql,743.052,3478.032
job12b.sql,33.047,33.047
job5b.sql,29.798,42.579
job16d.sql,409.176,451.726
job3c.sql,105.403,139.676
job23b.sql,17.223,17.421
job6d.sql,647.191,1934.548
job29a.sql,114.166,114.166
job16b.sql,1361.296,6097.01
job20a.sql,749.276,984.341
job7a.sql,287.408,347.401
job17e.sql,1107.636,3978.061
job7c.sql,296.342,325.489
job13c.sql,203.233,203.673
job27c.sql,10.191,14.956
job15b.sql,10.241,10.257
job17c.sql,700.75,2574.176
job11a.sql,22.555,23.83
job6f.sql,918.359,1986.693
job13d.sql,693.361,716.013
job20c.sql,368.778,467.264
job23a.sql,76.059,84.34
job11b.sql,12.072,12.095
job5c.sql,53.426,55.323
job21c.sql,25.451,25.451
job26a.sql,478.526,493.68
job32b.sql,41.106,41.106
job21b.sql,25.215,25.226
job14a.sql,98.052,110.081
job33b.sql,5.004,12.584
job8c.sql,1186.091,1228.933
job28c.sql,366.179,366.179
job9c.sql,137.128,141.358
job31b.sql,92.85,95.51
job8a.sql,330.782,381.539
job1b.sql,34.803,35.415
job4b.sql,21.999,21.999
job20b.sql,689.362,727.671
job18c.sql,730.184,1545.036
job9a.sql,64.686,67.34
job30c.sql,802.28,1040.039
job14b.sql,41.217,58.85
job22a.sql,138.999,139.245
job6b.sql,68.747,68.747
job11c.sql,61.495,431.969
job31a.sql,420.875,426.538
job17a.sql,676.048,4037.783
job30a.sql,727.184,1051.284
job12a.sql,64.88,75.728
job3a.sql,53.449,61.181
job13b.sql,211.527,215.275
job10a.sql,138.453,153.547
job15d.sql,129.941,130.809
job27b.sql,5.615,5.697
job13a.sql,450.446,474.124
job15c.sql,106.658,108.113
job29c.sql,1017.984,2389.702
job8b.sql,44.961,45.617
job6a.sql,7.482,7.807
