sql_file,bao_execution_time,postgres_execution_time
soload_q5-002.sql,13.334,18.536
soload_q5-004.sql,9.852,60.008
soload_q16-001.sql,204.187,2018.78
soload_q12-001.sql,41.225,203.21
soload_q10-001.sql,66.568,170.956
soload_q2-001.sql,204.367,1042.755
soload_q6-002.sql,11.567,93.051
soload_q16-002.sql,392.996,6780.208
soload_q7-005.sql,365.828,517.151
soload_q4-002.sql,44.326,313.015
soload_q13-004.sql,300.336,802.72
soload_q15-002.sql,384.338,2475.337
soload_q6-005.sql,11.069,38.389
soload_q5-005.sql,34.561,59.257
soload_q10-003.sql,59.099,59.099
soload_q10-005.sql,62.861,143.229
soload_q3-002.sql,396.64,1176.508
soload_q16-004.sql,2829.473,5220.702
soload_q1-001.sql,7.647,7.959
soload_q3-001.sql,411.809,1277.371
soload_q4-004.sql,23.672,229.212
soload_q1-005.sql,7.86,7.86
soload_q11-004.sql,726.96,1979.676
soload_q13-003.sql,207.58,508.516
soload_q7-003.sql,373.06,373.06
soload_q10-004.sql,62.226,68.318
soload_q9-006.sql,2409.211,28597.82
soload_q11-005.sql,20.174,153.188
soload_q14-002.sql,103.301,144.346
soload_q6-001.sql,8.635,20.89
soload_q14-001.sql,8402.055,8402.055
soload_q2-004.sql,150.229,1253.172
soload_q3-004.sql,377.959,1437.712
soload_q12-002.sql,39.068,329.384
soload_q14-005.sql,16.268,67.995
soload_q1-004.sql,7.529,7.582
soload_q8-002.sql,7.784,10.042
soload_q11-001.sql,694.727,960.165
soload_q15-001.sql,203.319,2742.694
soload_q9-013.sql,1985.357,17504.383
soload_q8-003.sql,7.875,10.154
soload_q8-005.sql,9.504,10.538
soload_q12-003.sql,41.353,349.268
soload_q9-003.sql,1870.534,5941.141
soload_q6-004.sql,15.418,182.212
soload_q10-002.sql,68.304,159.671
soload_q13-002.sql,152.936,189.36
soload_q2-002.sql,126.137,1340.291
soload_q7-001.sql,369.509,514.088
soload_q1-002.sql,7.832,9.012
soload_q5-001.sql,10.95,19.512
soload_q4-005.sql,48.16,649.483
soload_q3-005.sql,388.776,1770.969
soload_q15-004.sql,52.94,782.023
soload_q12-005.sql,13.946,145.929
soload_q12-004.sql,230.104,2813.678
soload_q16-003.sql,248.874,715.319
soload_q13-005.sql,267.698,2110.733
soload_q4-001.sql,61.687,410.973
soload_q5-003.sql,12.802,13.701
soload_q7-004.sql,1542.208,3045.778
soload_q14-004.sql,200.335,421.965
soload_q7-002.sql,385.865,533.022
soload_q11-003.sql,30.115,49.656
soload_q15-003.sql,1768.084,6215.536
soload_q13-001.sql,80.205,388.805
soload_q2-005.sql,324.918,2038.737
soload_q11-002.sql,27.693,45.195
soload_q9-008.sql,2115.459,19811.445
soload_q1-003.sql,7.674,7.674
soload_q4-003.sql,41.213,305.847
soload_q8-004.sql,9.783,10.289
soload_q6-003.sql,12.245,69.197
soload_q16-005.sql,201.9,3986.412
soload_q3-003.sql,480.639,1464.301
soload_q15-005.sql,80.722,174.311
soload_q9-005.sql,2171.99,18430.938
soload_q8-001.sql,9.876,10.097
soload_q14-003.sql,3094.469,3094.469
soload_q2-003.sql,103.295,601.423
